DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,FI,2019,17145.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,FR,2019,246683.00,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,HR,2019,5638.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,HU,2019,14485.94,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,IE,2019,17291.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,IS,2019,1102.90,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,IT,2019,151045.50,b
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,LT,2019,5308.40,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,LU,2019,2362.62,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,LV,2019,2745.96,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,MT,2019,1483.23,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,NL,2019,69337.96,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,NO,2019,24533.67,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,PL,2019,60034.00,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,PT,2019,23488.51,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,RO,2019,25306.72,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,SE,2019,39370.84,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,SI,2019,4766.15,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,SK,2019,8172.89,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,TOT_HF,UK,2019,209819.15,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,AT,2019,710.47,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,BE,2019,760.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,BG,2019,480.73,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,CH,2019,1243.82,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,CY,2019,667.03,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,CZ,2019,326.65,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,DE,2019,606.62,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,DK,2019,523.72,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,EE,2019,415.72,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,EL,2019,559.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,ES,2019,543.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,FI,2019,541.04,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,FR,2019,346.26,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,HR,2019,158.94,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,HU,2019,411.94,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,IE,2019,414.45,
